date,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-01,7.99,10.0,8.0,2.0,9.0
2007-01-01,6.029999999999999,14.0,6.0,0.0,2.0
2007-02-01,10.92,18.0,8.0,4.0,4.0
2007-03-01,7.56,15.0,5.0,2.0,1.0
2007-04-01,1.61,1.0,1.0,1.0,1.0
2007-05-01,8.32,12.0,8.0,3.0,1.0
2007-06-01,6.529999999999999,14.0,5.0,1.0,4.0
2007-07-01,8.190000000000001,11.0,5.0,1.0,
2007-08-01,7.9,12.0,5.0,4.0,2.0
2007-09-01,2.91,5.0,2.0,2.0,
2007-10-01,3.4799999999999995,3.0,2.0,2.0,6.0
2007-11-01,5.33,10.0,4.0,1.0,3.0
2007-12-01,8.39,10.0,5.0,2.0,
2008-01-01,7.9,14.0,6.0,2.0,2.0
2008-02-01,4.82,10.0,4.0,1.0,2.0
2008-03-01,11.74,19.0,10.0,3.0,
2008-04-01,6.74,14.0,3.0,3.0,
2008-05-01,4.32,8.0,3.0,1.0,2.0
2008-06-01,5.43,9.0,4.0,2.0,1.0
2008-07-01,2.6399999999999997,7.0,1.0,0.0,
2008-08-01,6.640000000000001,7.0,3.0,2.0,
2008-09-01,4.720000000000001,11.0,3.0,1.0,
2008-10-01,6.970000000000001,12.0,6.0,1.0,4.0
2008-11-01,5.61,14.0,4.0,0.0,6.0
2008-12-01,5.1,10.0,5.0,2.0,9.0
2009-01-01,5.86,7.0,5.0,2.0,5.0
2009-02-01,4.59,9.0,3.0,1.0,3.0
2009-03-01,4.65,10.0,3.0,1.0,1.0
2009-04-01,5.15,10.0,6.0,0.0,1.0
2009-05-01,12.43,10.0,6.0,4.0,1.0
2009-06-01,15.61,9.0,6.0,4.0,
2009-07-01,6.36,12.0,5.0,1.0,
2009-08-01,3.7299999999999995,3.0,2.0,1.0,
2009-09-01,3.2700000000000005,5.0,2.0,1.0,1.0
2009-10-01,7.2299999999999995,11.0,5.0,2.0,2.0
2009-11-01,8.559999999999999,19.0,6.0,1.0,5.0
2009-12-01,7.4,20.0,4.0,1.0,3.0
2010-01-01,4.29,9.0,2.0,1.0,6.0
2010-02-01,8.68,19.0,6.0,3.0,1.0
2010-03-01,5.83,10.0,6.0,1.0,2.0
2010-04-01,1.8399999999999999,7.0,1.0,0.0,
2010-05-01,4.39,10.0,2.0,1.0,
2010-06-01,2.57,6.0,1.0,0.0,
2010-07-01,7.24,8.0,3.0,3.0,
2010-08-01,18.97,15.0,7.0,4.0,1.0
2010-09-01,7.92,10.0,6.0,3.0,1.0
2010-10-01,5.7299999999999995,7.0,4.0,3.0,5.0
2010-11-01,7.95,16.0,4.0,3.0,4.0
